date,PM Seoul,PM Beijing,avg temprature,avg humidity,avg wind speed seoul,max wind direction seoul,avg wind speed back,max wind direction back
2019-01-01,41.79166667,97.91666667,-5,49.5,2.1,290,7.2,320
2019-01-02,37.125,107.3333333,-4.9,42.8,1.7,270,6.4,340
2019-01-03,40.45833333,195.25,-3.5,38.8,1.4,290,2.1,340
2019-01-04,76.30434783,55.58333333,-1.1,55.5,1.2,20,3.7,140
2019-01-05,74.08333333,49.5,-2.8,40.3,2.2,290,8.1,340
2019-01-06,47.25,133.5416667,-2.8,35,1.2,290,4.9,340
2019-01-07,61.875,94.95833333,-1.9,46.4,1.4,290,4.6,320
2019-01-08,46.04166667,47.625,-3.5,31,2.6,290,8.7,340
2019-01-09,50.125,105.8333333,-4.7,28.8,1.3,50,2.7,360
2019-01-10,61.20833333,159.0416667,-0.6,48.8,1.3,290,3.5,290
2019-01-11,81.70833333,168.5416667,2.4,58.8,1,20,2.1,90
2019-01-12,110.9583333,254.375,2.8,47.6,1.3,290,1.2,340
2019-01-13,126.9166667,184.2916667,1.2,54.3,1.4,270,3,320
2019-01-14,179.9583333,181.5833333,1.4,68.6,0.9,290,1.7,320
2019-01-15,142.8333333,37.33333333,-1.7,58.8,2.7,290,8.7,340
2019-01-16,44.58333333,109.75,-5.2,45.9,2.3,270,6.7,290
2019-01-17,40.70833333,107.2083333,-0.3,45.8,1.7,290,4,340
2019-01-18,62.20833333,159.2916667,0.6,44,1.3,290,2.2,110
2019-01-19,109.5416667,38,3.6,59.8,1.2,50,3.3,110
2019-01-20,73.41666667,30.33333333,-1.4,38.5,3.2,290,10.5,340
2019-01-21,41.08333333,72.70833333,-1.2,57.8,1.6,270,5.7,290
2019-01-22,58,90.83333333,1.7,62,1.7,20,3.4,270
2019-01-23,79.83333333,64.375,2,48.9,2.3,270,6.7,340
2019-01-24,42.70833333,161.9583333,0.1,34.9,1.7,270,3.2,340
2019-01-25,44.41666667,50.33333333,-1.2,27.6,2.6,290,10.4,340
2019-01-26,44.66666667,62.33333333,-2.5,30.9,2.4,320,9,340
2019-01-27,41.95833333,126.5,-0.1,52.5,1.7,230,4,250
2019-01-28,64.20833333,73.79166667,1.2,40.4,3.1,290,7.2,340
2019-01-29,64.16666667,182.2083333,-0.2,35.5,1.5,290,2.5,160
2019-01-30,63.125,75.95833333,1.8,54.6,1.5,290,4.1,360
2019-01-31,62.16666667,45.125,-2,29,2.9,290,9.7,360
2019-02-01,36.375,124.8333333,-2.1,47.6,1.7,270,4.9,270
2019-02-02,56.625,181.625,1.4,60,1,70,5.1,230
2019-02-03,48.79166667,97.83333333,3.3,92.9,1.7,90,7.2,340
2019-02-04,73.125,120.0416667,-0.6,40.4,2.1,290,5.2,340
2019-02-05,67.375,173.5416667,2.8,37.1,1,50,3.9,200
2019-02-06,87.41666667,139.5833333,5.1,54.9,1.3,20,4.2,360
2019-02-07,58.91666667,37.29166667,-2.1,45.5,3.5,290,12,340
2019-02-08,31.16666667,75,-6.1,31.5,2.3,290,7,340
2019-02-09,35.91666667,31.875,-5.4,30,2.7,320,9,340
2019-02-10,44.45833333,76.54166667,-5,31.3,1.7,290,5.9,360
2019-02-11,42.95833333,111.5833333,-3,34.9,2.3,270,4.6,340
2019-02-12,64.125,83,-0.6,35.5,1.9,290,3.4,360
